length_bucket,n,accuracy,ci_lower_95,ci_upper_95
"(60.999, 210.0]",63,0.8095238095238095,0.7142857142857143,0.9047619047619048
"(210.0, 345.0]",63,0.746031746031746,0.6349206349206349,0.8571428571428571
"(345.0, 531.0]",62,0.5,0.3709677419354839,0.6290322580645161
"(531.0, 895.4]",59,0.6271186440677966,0.4915254237288136,0.7457627118644068
"(895.4, 4865.0]",62,0.7580645161290323,0.6451612903225806,0.8548387096774194
