length_bucket,n,accuracy,ci_lower_95,ci_upper_95
"(8.999, 38.8]",62,0.7903225806451613,0.6774193548387096,0.8870967741935484
"(38.8, 61.0]",66,0.8181818181818182,0.7272727272727273,0.9090909090909091
"(61.0, 100.0]",66,0.6363636363636364,0.5151515151515151,0.7424242424242424
"(100.0, 172.6]",54,0.7407407407407407,0.6111111111111112,0.8518518518518519
"(172.6, 884.0]",62,0.8225806451612904,0.7258064516129032,0.9193548387096774
