group1,group2,meandiff,p-adj,lower,upper,reject
8,20,0.0424,0.2804,-0.0251,0.1099,False
8,143,0.0846,0.0119,0.0171,0.152,True
20,143,0.0422,0.2846,-0.0253,0.1096,False
