length_bucket,n,accuracy,ci_lower_95,ci_upper_95
"(8.999, 38.0]",63,0.8095238095238095,0.7142857142857143,0.9047619047619048
"(38.0, 61.0]",65,0.7230769230769231,0.6153846153846154,0.8307692307692308
"(61.0, 97.6]",57,0.5614035087719298,0.43859649122807015,0.6842105263157895
"(97.6, 156.4]",62,0.5806451612903226,0.45161290322580644,0.7096774193548387
"(156.4, 884.0]",62,0.7580645161290323,0.6451612903225806,0.8548387096774194
