condition,length_bin,n,F1,median_len
zero,"(8.999, 38.0]",63,0.7857142857142857,21.0
zero,"(38.0, 61.0]",65,0.7906976744186046,50.0
zero,"(61.0, 97.6]",57,0.5901639344262295,75.0
zero,"(97.6, 156.4]",62,0.6829268292682927,113.5
zero,"(156.4, 884.0]",62,0.8484848484848485,219.5
