length_bucket,n,accuracy,ci_lower_95,ci_upper_95
"(8.999, 44.0]",65,0.8615384615384616,0.7692307692307693,0.9384615384615385
"(44.0, 64.0]",61,0.9180327868852459,0.8524590163934426,0.9836065573770492
"(64.0, 105.4]",60,0.6833333333333333,0.5666666666666667,0.8
"(105.4, 187.0]",63,0.7301587301587301,0.6190476190476191,0.8412698412698413
"(187.0, 747.0]",61,0.8360655737704918,0.7377049180327869,0.9180327868852459
