k,length_bin,n,F1,median_len
20,"(8.999, 39.8]",31,0.8461538461538461,24.0
20,"(39.8, 62.0]",32,0.9583333333333334,56.0
20,"(62.0, 100.0]",31,0.6829268292682927,75.0
20,"(100.0, 188.2]",30,0.7027027027027027,124.0
20,"(188.2, 747.0]",31,0.8727272727272727,237.0
